sec,CH1,CH14,CH40,CH42,CH47,CH54
11390.3,-1.17584,13.8702,2.81,11.583,1276,5
11390.3,-1.17554,13.8702,2.81,11.583,1276,5
11390.4,-1.17584,13.8702,2.81,11.583,1276,5
11390.4,-1.18042,13.8702,2.81,11.583,1276,5
11390.4,-1.18042,13.8718,2.81,11.583,1276,5
11390.4,-1.18042,13.8672,2.81,11.583,1276,5
11390.4,-1.18042,13.8702,2.81,11.583,1276,5
11390.4,-1.18561,13.8702,2.81,11.583,1276,5
11390.4,-1.185,13.8748,2.81,11.583,1276,5
11390.4,-1.18591,13.8733,2.81,11.583,1276,5
11390.4,-1.18561,13.8733,2.81,11.583,1276,5
11390.4,-1.18866,13.8718,2.81,11.583,1276,5
11390.4,-1.19019,13.8702,2.81,11.583,1276,5
11390.4,-1.19049,13.8733,2.81,11.583,1276,5
11390.4,-1.19049,13.8702,2.81,11.583,1276,5
11390.4,-1.18988,13.8718,2.81,11.583,1276,5
11390.4,-1.19507,13.8687,2.81,11.583,1276,5
11390.4,-1.19507,13.8702,2.81,11.583,1276,5
11390.4,-1.19537,13.884,2.81,11.583,1276,5
11390.4,-1.19537,13.8824,2.81,11.583,1276,5
11390.4,-1.19812,13.8809,2.81,11.583,1276,5
11390.4,-1.20026,13.8809,2.81,11.583,1276,5
11390.4,-1.19965,13.884,2.81,11.583,1276,5
11390.4,-1.19934,13.8809,2.81,11.583,1276,5
11390.4,-1.20026,13.8809,2.81,11.583,1276,5
11390.4,-1.203,13.884,2.81,11.583,1276,5
11390.4,-1.20514,13.8809,2.81,11.583,1276,5
11390.4,-1.20544,13.8824,2.81,11.583,1276,5
11390.4,-1.20453,13.8824,2.81,11.583,1276,5
11390.4,-1.20422,13.8824,2.81,11.583,1276,5
11390.4,-1.20514,13.884,2.81,11.583,1276,5
11390.4,-1.20972,13.8855,2.81,11.583,1276,5
11390.4,-1.21002,13.884,2.81,11.583,1276,5
11390.4,-1.20941,13.8824,2.81,11.583,1276,5
11390.4,-1.20941,13.8824,2.81,11.583,1276,5
11390.4,-1.20972,13.8809,2.81,11.583,1276,5
11390.4,-1.21399,13.8809,2.81,11.583,1276,5
11390.4,-1.21521,13.8824,2.81,11.583,1276,5
11390.4,-1.21521,13.884,2.81,11.583,1276,5
11390.4,-1.21521,13.8809,2.81,11.583,1276,5
11390.4,-1.2146,13.8855,2.81,11.583,1276,5
11390.4,-1.2146,13.8824,2.81,11.583,1276,5
11390.4,-1.21887,13.884,2.81,11.583,1276,5
