5600-SECPT.acq
2 msec/sample
6 channels
RSP, X, RSPEC-R
Volts
EDA, Y, PPGED-R
microsiemens
ECG R-R
Seconds
Respiration Rate
BPM
C7 - EDR
Peaks
C14 - Control
Volts
sec,CH1,CH14,CH40,CH42,CH47,CH54,
12913.5,6.14075,0.532533,0,11.1815,724,0,
12913.5,6.14319,0.534059,0,11.1815,724,0,
12913.5,6.14563,0.532533,0,11.1815,724,0,
12913.5,6.14532,0.531007,0,11.1815,724,0,
12913.5,6.14929,0.534059,0,11.1815,724,0,
12913.5,6.1499,0.532533,0,11.1815,724,0,
12913.5,6.15021,0.53711,0,11.1815,724,0,
12913.5,6.15509,0.534059,0,11.1815,724,0,
12913.5,6.1554,0.531007,0,11.1815,724,0,
12913.5,6.15509,0.531007,0,11.1815,724,0,
12913.5,6.15997,0.534059,0,11.1815,724,0,
12913.5,6.16028,0.5188,0,11.1815,724,0,
12913.5,6.16364,0.520326,0,11.1815,724,0,
12913.5,6.16486,0.520326,0,11.1815,724,0,
12913.5,6.16516,0.520326,0,11.1815,724,0,
12913.5,6.16547,0.517274,0,11.1815,724,0,
12913.5,6.16943,0.521852,0,11.1815,724,0,
12913.5,6.17035,0.523377,0,11.1815,724,0,
12913.5,6.17035,0.521852,0,11.1815,724,0,
12913.5,6.17462,0.5188,0,11.1815,724,0,
12913.5,6.17462,0.520326,0,11.1815,724,0,
12913.5,6.17523,0.517274,0,11.1815,724,0,
12913.5,6.17889,0.521852,0,11.1815,724,0,
12913.5,6.1792,0.5188,0,11.1815,724,0,
12913.5,6.1792,0.521852,0,11.1815,724,0,
12913.5,6.18042,0.517274,0,11.1815,724,0,
12913.5,6.1853,0.524903,0,11.1815,724,0,
12913.5,6.18439,0.520326,0,11.1815,724,0,
12913.5,6.18469,0.520326,0,11.1815,724,0,
12913.5,6.18744,0.517274,0,11.1815,724,0,
12913.5,6.18988,0.520326,0,11.1815,724,0,
12913.6,6.18927,0.520326,0,11.1815,724,0,
12913.6,6.18896,0.520326,0,11.1815,724,0,
12913.6,6.19263,0.5188,0,11.1815,724,0,
12913.6,6.19354,0.5188,0,11.1815,724,0,
12913.6,6.19446,0.517274,0,11.1815,724,0,
12913.6,6.19446,0.520326,0,11.1815,724,0,
12913.6,6.19537,0.5188,0,11.1815,724,0,
12913.6,6.19873,0.5188,0,11.1815,724,0,
12913.6,6.19873,0.520326,0,11.1815,724,0,
12913.6,6.19934,0.517274,0,11.1815,724,0,
12913.6,6.19873,0.521852,0,11.1815,724,0,
12913.6,6.20209,0.5188,0,11.1815,724,0,
12913.6,6.20392,0.520326,0,11.1815,724,0,
12913.6,6.20392,0.5188,0,11.1815,724,0,
12913.6,6.20361,0.520326,0,11.1815,724,0,
12913.6,6.20392,0.520326,0,11.1815,724,0,
12913.6,6.20514,0.520326,0,11.1815,724,0,
12913.6,6.20911,0.520326,0,11.1815,724,0,
12913.6,6.20911,0.520326,0,11.1815,724,0,
12913.6,6.2088,0.521852,0,11.1815,724,0,
12913.6,6.20972,0.5188,0,11.1815,724,0,
12913.6,6.2085,0.517274,0,11.1815,724,0,
12913.6,6.20972,0.521852,0,11.1815,724,0,
12913.6,6.21368,0.521852,0,11.1815,724,0,
12913.6,6.21429,0.520326,0,11.1815,724,0,
12913.6,6.21399,0.5188,0,11.1815,724,0,
12913.6,6.21368,0.520326,0,11.1815,724,0,
12913.6,6.21399,0.520326,0,11.1815,724,0,
12913.6,6.21368,0.5188,0,11.1815,724,0,
12913.6,6.21674,0.520326,0,11.1815,724,0,
12913.6,6.21887,0.5188,0,11.1815,724,0,
12913.6,6.21887,0.5188,0,11.1815,724,0,
12913.6,6.21948,0.5188,0,11.1815,724,0,
12913.6,6.21887,0.5188,0,11.1815,724,0,
12913.6,6.21887,0.5188,0,11.1815,724,0,
12913.6,6.21826,0.517274,0,11.1815,724,0,
12913.6,6.21826,0.520326,0,11.1815,724,0,
12913.6,6.21857,0.5188,0,11.1815,724,0,
12913.6,6.22406,0.5188,0,11.1815,724,0,
12913.6,6.22375,0.520326,0,11.1815,724,0,
12913.6,6.22406,0.520326,0,11.1815,724,0,
12913.6,6.22406,0.521852,0,11.1815,724,0,
12913.6,6.22375,0.521852,0,11.1815,724,0,
12913.6,6.22406,0.5188,0,11.1815,724,0,
12913.6,6.22375,0.521852,0,11.1815,724,0,
12913.6,6.22437,0.5188,0,11.1815,724,0,
12913.6,6.22345,0.520326,0,11.1815,724,0,
12913.6,6.22345,0.5188,0,11.1815,724,0,
12913.6,6.22406,0.515748,0,11.1815,724,0,
12913.6,6.22375,0.5188,0,11.1815,724,0,
12913.7,6.22681,0.5188,0,11.1815,724,0,
12913.7,6.22833,0.517274,0,11.1815,724,0,
12913.7,6.22864,0.521852,0,11.1815,724,0,
12913.7,6.22864,0.5188,0,11.1815,724,0,
12913.7,6.22894,0.520326,0,11.1815,724,0,
12913.7,6.22803,0.5188,0,11.1815,724,0,
12913.7,6.22894,0.5188,0,11.1815,724,0,
12913.7,6.22894,0.523377,0,11.1815,724,0,
12913.7,6.22864,0.520326,0,11.1815,724,0,
12913.7,6.22955,0.520326,0,11.1815,724,0,
12913.7,6.22833,0.520326,0,11.1815,724,0,
12913.7,6.22925,0.5188,0,11.1815,724,0,
12913.7,6.22894,0.521852,0,11.1815,724,0,
12913.7,6.22955,0.5188,2.64,11.1815,724,0,
12913.7,6.22925,0.520326,2.64,11.1815,724,0,
12913.7,6.22955,0.5188,2.64,11.1815,724,0,
12913.7,6.22894,0.521852,2.64,11.1815,724,0,
12913.7,6.22833,0.515748,2.64,11.1815,724,0,
12913.7,6.22894,0.520326,2.64,11.1815,724,0,
12913.7,6.22894,0.5188,2.64,11.1815,724,0,
12913.7,6.22955,0.5188,2.64,11.1815,724,0,
12913.7,6.22925,0.521852,2.64,11.1815,724,0,
12913.7,6.22925,0.517274,2.64,11.1815,724,0,
12913.7,6.22925,0.520326,2.64,11.1815,724,0,
12913.7,6.22925,0.521852,2.64,11.1815,724,0,
12913.7,6.22894,0.5188,2.64,11.1815,724,0,
12913.7,6.22955,0.5188,2.64,11.1815,724,0,
12913.7,6.22833,0.5188,2.64,11.1815,724,0,
12913.7,6.22864,0.520326,2.64,11.1815,724,0,
12913.7,6.22833,0.520326,2.64,11.1815,724,0,
12913.7,6.22894,0.5188,2.64,11.1815,724,0,
12913.7,6.22833,0.5188,2.64,11.1815,724,0,
12913.7,6.22894,0.520326,2.64,11.1815,724,0,
12913.7,6.22833,0.520326,2.64,11.1815,724,0,
12913.7,6.22772,0.517274,2.64,11.1815,724,0,
12913.7,6.22833,0.520326,2.64,11.1815,724,0,
12913.7,6.22833,0.521852,2.64,11.1815,724,0,
12913.7,6.22833,0.5188,2.64,11.1815,724,0,
12913.7,6.22864,0.520326,2.64,11.1815,724,0,
12913.7,6.22803,0.520326,2.64,11.1815,724,0,
12913.7,6.22803,0.520326,2.64,11.1815,724,0,
12913.7,6.22833,0.517274,2.64,11.1815,724,0,
12913.7,6.22864,0.523377,2.64,11.1815,724,0,
12913.7,6.22864,0.517274,2.64,11.1815,724,0,
12913.7,6.22833,0.520326,2.64,11.1815,724,0,
12913.7,6.22437,0.521852,2.64,11.1815,724,0,
12913.7,6.22284,0.520326,2.64,11.1815,724,0,
12913.7,6.22406,0.517274,2.64,11.1815,724,0,
12913.7,6.22375,0.520326,2.64,11.1815,724,0,
12913.8,6.22375,0.520326,2.64,11.1815,724,0,
12913.8,6.22406,0.520326,2.64,11.1815,724,0,
12913.8,6.22375,0.520326,2.64,11.1815,724,0,
12913.8,6.22345,0.520326,2.64,11.1815,724,0,
12913.8,6.22345,0.517274,2.64,11.1815,724,0,
